Time,enc_1,enc_2,Robx,Roby,PlayerX,PlayerY,CirclePosX,CirclePosY,circleRadius,TargetPos1,TargetPos2,targetRadii,CurrentStat
2024-07-05 15:12:39.071,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.079,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.087,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.096,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.104,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.113,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.121,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.129,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.137,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.146,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.154,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.163,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.170,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.179,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.189,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.196,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.206,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.214,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.222,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.230,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.238,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.247,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.256,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.265,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.272,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.281,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.290,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.299,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.305,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.314,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.322,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.329,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.337,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.346,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.355,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.363,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.373,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.381,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.389,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.396,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.406,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.415,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.421,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.429,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.438,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.447,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.455,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.466,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.472,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.480,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.487,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.495,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.513,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.518,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.525,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.533,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.541,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.551,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.559,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.567,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.575,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.585,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.592,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.602,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.610,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.616,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.625,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.634,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.642,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.651,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.659,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.668,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.675,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.685,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.692,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
2024-07-05 15:12:39.702,0,0,0,-4.368,,-1.33926;,3.94088;,-1.28269;,0.3;,,,,0
